"Add Row","Add Row"
Back,Back
"No Product In List","No Product In List"
"My Auction Product List","My Auction Product List"
"Search by product name","Search by product name"
Submit,Submit
"Cancel Auction","Cancel Auction"
Quantity,Quantity
"Auction Date","Auction Date"
Options,Options
"Auction Status","Auction Status"
"Product Sold","Product Sold"
"Bid Detail","Bid Detail"
Action,Action
"Starting Price :","Starting Price :"
"Reserve Price :","Reserve Price :"
"Min : ","Min : "
"Max : ","Max : "
"Start :","Start :"
"Stop :","Stop :"
"Increment :","Increment :"
"Auto Bid :","Auto Bid :"
View,View
Edit,Edit
Detail,Detail
"No Product Available","No Product Available"
"Add auction not allowed","Add auction not allowed"
"Auctions Bid","Auctions Bid"
"Bidding Price","Bidding Price"
"Winning Price","Winning Price"
"Bid Status","Bid Status"
"Winning Status","Winning Status"
"Product Name ","Product Name "
"You have no auto bid records.","You have no auto bid records."
"Auto Bid Details","Auto Bid Details"
"Bidder Name","Bidder Name"
"Time Stamp","Time Stamp"
"Bidder Name ","Bidder Name "
"Hide Auto Bid","Hide Auto Bid"
"Show Auto Bid","Show Auto Bid"
"You have no bid records.","You have no bid records."
"Normal Bid Details","Normal Bid Details"
"no image","no image"
"My Product List For Auction","My Product List For Auction"
Product,Product
"Ends in","Ends in"
"Current Bid Amount","Current Bid Amount"
"Minimum Qty:","Minimum Qty:"
"Open Bid Amount:","Open Bid Amount:"
"Maximum Qty:","Maximum Qty:"
"Next Minimum Bid Amount:","Next Minimum Bid Amount:"
Bidding,Bidding
"Bid Now","Bid Now"
"Place Bid as Automatic","Place Bid as Automatic"
"Start in","Start in"
"Buy with ","Buy with "
"Time remaining to buy","Time remaining to buy"
"Your's Bid Amount","Your's Bid Amount"
"'show_winner_msg Now, you can get it in ' .","'show_winner_msg Now, you can get it in ' ."
"You have already bought this product.","You have already bought this product."
"Auction time has been ended.","Auction time has been ended."
"Hello ","Hello "
Date,Date
"Bid End Time","Bid End Time"
"Your Auto Bid","Your Auto Bid"
"Your New Bid","Your New Bid"
"Place Another Bid","Place Another Bid"
"Your Bid","Your Bid"
"Place Your Bid","Place Your Bid"
Congratulation!,Congratulation!
"Offer Avail Date","Offer Avail Date"
"Redeem Now","Redeem Now"
"Add Option","Add Option"
"Hide Admin Increment Bid Rule","Hide Admin Increment Bid Rule"
"Selected auctions will cancel.","Selected auctions will cancel."
"Highest Bid :","Highest Bid :"
"Open Bid : ","Open Bid : "
"Bid Start In: ","Bid Start In: "
"Bid Ends In: ","Bid Ends In: "
"Days","Days"
"Hours","Hours"
"Minutes","Minutes"
"Seconds","Seconds"
"Enter Bid Amount","Enter Bid Amount"
"Webkul","Webkul"
"Marketplace Auction","Marketplace Auction"
"Standard Auction","Standard Auction"
"Enable","Enable"
"Show Current Bid Price","Show Current Bid Price"
"Show Bidder Name","Show Bidder Name"
"Show Bid Price","Show Bid Price"
"Show Auction details","Show Auction details"
"Show Winner Message","Show Winner Message"
"Auction Rule","Auction Rule"
"Increment Auction Option","Increment Auction Option"
"Enable Incremental Auction","Enable Incremental Auction"
"You need to set the Incremental Price Range beforehand to Enable it.","You need to set the Incremental Price Range beforehand to Enable it."
"Automatic Auction Option","Automatic Auction Option"
"Enable Automatic Auction","Enable Automatic Auction"
"Customers can change autobid price for multiple times","Customers can change autobid price for multiple times"
"Use Incremental Price","Use Incremental Price"
"Show Automatic Price","Show Automatic Price"
"Show Automatic Bidders Name","Show Automatic Bidders Name"
"Show Automatic Bidder Details","Show Automatic Bidder Details"
"Show Outbid Message","Show Outbid Message"
"Outbid Message","Outbid Message"
"Reserve Auction Option","Reserve Auction Option"
"Enable Reserve Price","Enable Reserve Price"
"Email Notification Option","Email Notification Option"
"Email Notification to Admin","Email Notification to Admin"
"Admin notification email template","Admin notification email template"
"Email Notification to Seller","Email Notification to Seller"
"Seller notification email template","Seller notification email template"
"Email notification to outbid buyer","Email notification to outbid buyer"
"Outbid notify email template","Outbid notify email template"
"Email notification to winner","Email notification to winner"
"Winner notify email template","Winner notify email template"
"Enter admin email address","Enter admin email address"
"Email notification to bidder on submit bid","Email notification to bidder on submit bid"
"Bidder notify email template","Bidder notify email template"
"Auto Bidder notify email template","Auto Bidder notify email template"
"Notify the autobidder about the bid we place on behalf of him/her.","Notify the autobidder about the bid we place on behalf of him/her."
"Do you want to delete selected auto bid record?","Do you want to delete selected auto bid record?"
"Bidding Amount","Bidding Amount"
"Winning Amount","Winning Amount"
"Product Purchase Status","Product Purchase Status"
"Do you want to delete selected bid record?","Do you want to delete selected bid record?"
"Do you want to delete selected auction product record?","Do you want to delete selected auction product record?"
Cancel,Cancel
"You can cancel only those auctions which are not bought by winner and auction status is not completed. Do you want to cancel selected auction product records? ","You can cancel only those auctions which are not bought by winner and auction status is not completed. Do you want to cancel selected auction product records? "
"Days till winner can buy","Days till winner can buy"
"Automatic Bidding Option","Automatic Bidding Option"
"Product bought by winner","Product bought by winner"
"Bid Details","Bid Details"
"Auction Can't set on the past.","Auction Can't set on the past."
"Auction no longer exist.","Auction no longer exist."
"Start auction and stop auction datetime must be greater than today.","Start auction and stop auction datetime must be greater than today."
