"No rewards Available","No rewards Available"
"Total Points","Total Points"
"Used Points","Used Points"
"Remaining Points","Remaining Points"
"Pending Points","Pending Points"
Description,Description
"Debit Points","Debit Points"
"Credit Points","Credit Points"
"Order id: ","Order id: "
Debit,Debit
Credit,Credit
-,-
Applied,Applied
Approved,Approved
Pending,Pending
Back,Back
"Total Rewards","Total Rewards"
"Used Rewards","Used Rewards"
"Remaining Rewards","Remaining Rewards"
"Pending Rewards","Pending Rewards"
"Category Id","Category Id"
"Reward Status","Reward Status"
"Search by Category name","Search by Category name"
"Assign Rewards","Assign Rewards"
"No Category Available","No Category Available"
"Seller's Reward","Seller's Reward"
"Select seller's reward","Select seller's reward"
"Enter Reward Points","Enter Reward Points"
"Apply Reward","Apply Reward"
"Applied Rewards","Applied Rewards"
Using,Using
Rewards,Rewards
"Cancel Rewards","Cancel Rewards"
"Cancel Reward","Cancel Reward"
"Register Yourself to get","Register Yourself to get"
" Reward Points."," Reward Points."
Menu,Menu
"Search by product name","Search by product name"
Product,Product
Type,Type
"No Product Available","No Product Available"
"Submit your review to get","Submit your review to get"
"Hello %customername, ","Hello %customername, "
%message,%message
%message1,%message1
"Enter Reward code","Enter Reward code"
" Rewards "," Rewards "
of,of
" Rewards )"," Rewards )"
Cancel,Cancel
"Are you sure you want to set reward points on selected product?","Are you sure you want to set reward points on selected product?"
"Please Select Products To Assign Reward Points","Please Select Products To Assign Reward Points"
"Are you sure you want to set reward points on selected category?","Are you sure you want to set reward points on selected category?"
"Please Select Categories To Assign Reward Points","Please Select Categories To Assign Reward Points"
Saving,Saving
"Reward value must be less then reward assign value.","Reward value must be less then reward assign value."
"Reward review value must be less then reward assign value.","Reward review value must be less then reward assign value."
"Your reward was successfully cancelled","Your reward was successfully cancelled"
"Your Reward was successfully applied","Your Reward was successfully applied"
"Not working on selected data from long time.","Not working on selected data from long time."
"No Checkbox is checked ","No Checkbox is checked "
"Are you sure you want to assign rewards to these category ? ","Are you sure you want to assign rewards to these category ? "
"Are you sure, you want to delete?","Are you sure, you want to delete?"
"Are you sure, you want to delete these Cart rules?","Are you sure, you want to delete these Cart rules?"
"Are you sure, you want to edit?","Are you sure, you want to edit?"
" No Checkbox is checked "," No Checkbox is checked "
" Are you sure you want to assign rewards to these product ? "," Are you sure you want to assign rewards to these product ? "
"Reward System","Reward System"
"Reward Points on Product","Reward Points on Product"
"Reward Points on Cart","Reward Points on Cart"
Webkul,Webkul
"Marketplace Reward System","Marketplace Reward System"
"General Settings of Reward Points","General Settings of Reward Points"
"Enable Reward System Module","Enable Reward System Module"
"1 Reward Point Value is Equals to","1 Reward Point Value is Equals to"
"e.g. 10","e.g. 10"
"Maximum Reward Points can Assign to a Customer","Maximum Reward Points can Assign to a Customer"
"e.g. 1000 (Maximum number of points assign to a customer)","e.g. 1000 (Maximum number of points assign to a customer)"
"Maximum Reward Points can be Used By a Customer","Maximum Reward Points can be Used By a Customer"
"e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)","e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)"
"Allow Reward Points on Registration","Allow Reward Points on Registration"
"Reward Points On Registration","Reward Points On Registration"
"Allow Reward Points on Product Review","Allow Reward Points on Product Review"
"Reward Points On Product Review","Reward Points On Product Review"
"Order Placed Reward Points Calculation Based On","Order Placed Reward Points Calculation Based On"
"Reward points for placed order will calculate based on Product/Cart/Category.","Reward points for placed order will calculate based on Product/Cart/Category."
"Rewards Applied product's Quantity wise","Rewards Applied product's Quantity wise"
"If yes then reward points will apply product's quantity wise.","If yes then reward points will apply product's quantity wise."
"Manage Reward Email Setting","Manage Reward Email Setting"
"Email notification for Transactions","Email notification for Transactions"
"Transactions Template","Transactions Template"
"Cart Rule Status","Cart Rule Status"
"Are you sure to update status of selected Cart Rules?","Are you sure to update status of selected Cart Rules?"
"Add New Cart Rule","Add New Cart Rule"
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected cart rules?","Are you sure you want to delete selected cart rules?"
"Update Cart Rule","Update Cart Rule"
Id,Id
Name,Name
"Created At","Created At"
ID,ID
"Seller Name","Seller Name"
"Customer Name","Customer Name"
"My Reward Points","My Reward Points"
"Reward Details","Reward Details"
"Please Login or Sign Up to use reward points","Please Login or Sign Up to use reward points"
